symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
MAKAR,Makar Jitumaya Suri Hydropower Limited,HydroPower,429.8,-5.2,-1.2,31056,13388551.3
MANDU,Mandu Hydropower Limited,HydroPower,798,-8,-0.99,5828,4673778.4
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,811,-1.2,-0.15,488,397224
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,HydroPower,267,-0.39,-0.15,4538,1210021.8
MBL,Machhapuchhre Bank,Banking,255,2,0.79,87239,22116749.2
MBLEF,MBL Equity Fund,Mutual Fund,10.28,0,0,0,7792735.49
MCHL,Menchhiyam Hydropower Limited,HydroPower,282,1.9,0.68,4818,1339616.8
MDB,Miteri Development Bank,Development Bank,578.2,0.2,0.03,3256,1888235.8
MEHL,Manakamana Engineering Hydropower Limited,HydroPower,296,-1,-0.34,3838,1129609
MEL,Modi Energy Limited,HydroPower,214.9,0.3,0.14,17055,3640337.1
MEN,Mountain Energy Nepal Limited,HydroPower,595.1,-5,-0.83,43063,25733555
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,661.2,-4.8,-0.72,2700,1804785.9
MFIL,Manjushree Financial Institution,Finance,775,-10,-1.27,16576,12723086.4
MHCL,Molung Hydropower Company Limited,HydroPower,308,-4.1,-1.31,4148,1290077
MHL,Mandakini Hydropower Limited,HydroPower,470,1.5,0.32,3960,1848409.8
MHNL,Mountain Hydro Nepal Limited,HydroPower,242,2.1,0.88,3176,762937.5
MKCL,Muktinath Krishi Company Limited,Others,1075,13,1.22,2299,2431546.2
MKHC,Maya Khola Hydropower Company Limited,HydroPower,280,-5.8,-2.03,356138,96142125.3
MKHL,Mai Khola Hydropower Limited,HydroPower,494.9,-0.4,-0.08,829,406349.9
MKJC,Mailung Khola Jal Vidhyut Company Limited,HydroPower,453,-4,-0.88,6876,3119555
MLBBL,Mithila Laghubitta Bikas Bank,Microfinance,1119,-2,-0.18,306,336748
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank,350.9,-3.4,-0.96,19251,6754714.9
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,1152.5,33.5,2.99,158,177945
MLBSL,Mahila Lagubitta Bittiya Sanstha Limited,Microfinance,1620,20,1.25,445,690870
MMF1,Mega Mutual Fund -1,Mutual Fund,8.88,0.13,1.49,0,133800.8
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,HydroPower,454.9,-3.1,-0.68,6085,2727626.3
MNBBL,Muktinath Bikas Bank,Development Bank,366.3,-3.2,-0.87,17348,6371652.3
MNMF1,Muktinath Mutual Fund 1,Mutual Fund,9.8,0.2,2.08,0,132704
MPFL,Multipurpose Finance,Finance,613,2,0.33,7828,4745459
MSHL,Mid Solu Hydropower Limited,HydroPower,608,-1,-0.16,1103,672868.5
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microfinance,1258,3,0.24,909,1133658.8
NABBC,Narayani Development Bank,Development Bank,825.4,-17.6,-2.09,13163,10947575.9
NABIL,Nabil Bank,Banking,556,4,0.72,83780,46536333.2
NABILD2089,7% Nabil Debenture 2089,Bond,1040,0,0,0,26000
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,Microfinance,729,-1,-0.14,570,404916
NBF2,Nabil Balanced Fund 2,Mutual Fund,10.1,0.2,2.02,0,22969
NBF3,Nabil Balanced Fund-3,Mutual Fund,9.55,0.04,0.42,0,45894.7
NBL,Nepal Bank,Banking,269.89,0.89,0.33,72438,19309018.4
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microfinance,1458,-11,-0.75,774,1124410
NFS,Nepal Finance,Finance,567.4,-0.6,-0.11,1379,778528.4
NGPL,Ngadi Group Power Ltd.,HydroPower,408.7,-4.1,-0.99,74059,30369251.5
NHDL,Nepal Hydro Developers Ltd.,HydroPower,640,-1,-0.16,3032,1920693.5
NHPC,National Hydro Power,HydroPower,273,-4.1,-1.48,191698,52412193.6
NIBLSTF,NIBL Stable Fund,Mutual Fund,8.78,0,0,0,58714
NIBSF2,NIBL Samriddhi Fund -2,Mutual Fund,8.76,-0.24,-2.67,0,5248
NICA,NIC Asia Bank,Banking,326,-1.9,-0.58,43627,14194466.7
NICBF,NIC Asia Balanced Fund,Mutual Fund,9.57,0.47,5.16,0,11410
NICFC,NIC Asia Flexi CAP Fund,Mutual Fund,9.36,0.23,2.52,0,44726
NICGF2,NIC ASIA Growth Fund-2,Mutual Fund,9.18,0,0,0,9195.8
NICL,Nepal Insurance,Non Life Insurance,499,-1,-0.2,10404,5237023.3
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance,547,-2,-0.36,7143,3906603.8
NICSF,NIC Asia Select Fund 30,Mutual Fund,8.9,0.34,3.97,0,59265
NIFRA,Nepal Infrastructure Bank Limited,Investment,245.1,-0.9,-0.37,40495,9944689.1
NIFRAGED,Nifra Green Energy Debenture 6% - 2088/89,Bond,1030,2,0.19,0,1662185
NIL,Neco Insurance,Non Life Insurance,615.9,0.8,0.13,8458,5175827.7
NIMB,Nepal Investment Bank,Banking,195,-0.9,-0.46,75911,14749305.1
NIMBPO,Nepal Investment Mega Bank Promoter,Banking,145,3,2.11,27255,3977817.5
NLG,Nlg Insurance,Non Life Insurance,570,3,0.53,1670,940111.1
NLIC,Nepal Life Insurance,Life Insurance,739.8,-4,-0.54,18768,13856715.7
NLICL,National Life Insurance,Life Insurance,562,-8,-1.4,16965,9595491.2
NMB,NMB Bank,Banking,243.1,-0.8,-0.33,49980,12152170.1
NMB50,NMB 50,Mutual Fund,10.38,-0.22,-2.08,0,76275.54
NMBHF2,NMB Hybrid Fund L- II,Mutual Fund,9.69,0.09,0.94,0,156413
NMBMF,NMB Microfinance,Microfinance,616,1.3,0.21,707,423911.5
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microfinance,1101.4,-3.6,-0.33,7110,7838412.6
NMIC,Nepal Micro Insurance Company Limited,Non Life Insurance,910,-3,-0.33,1872,1699569.2
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,515.1,-0.9,-0.17,6361,3263431.2
NRIC,Nepal Reinsurance Company Limited,Others,932,-6.9,-0.73,7177,6688884.1
NRM,Nepal Republic Media Limited,Others,305.1,-5.4,-1.74,4650,1432440.1
NRN,NRN Infrastructure and Development Limited,Investment,1371,-16,-1.15,51374,70592764.8
NSIF2,NMB Sulav Investment Fund - 2,Mutual Fund,10.8,0.12,1.12,0,525765
NSY,Nepal Life Samriddhi Lagani Yojana,Mutual Fund,9.19,0,0,0,213571
NTC,Nepal Doorsanchar Company,Others,863.9,1.9,0.22,8319,7195105.2
