symbol,open,high,low,close,ltp,volume,prev_close,turnover,transactions,diff,diff_percent,fifty_two_week_high,fifty_two_week_low,confidence,dma20,diff_20dma,below_20dma
ICFCD89,1092.0,1092.0,1092.0,1092.0,1092.0,0,1090.0,241585.0,,2.0,0.18,1140.0,1020.0,,1104.12,-12.12,
IGI,430.0,430.0,430.0,430.0,430.0,7761,429.0,3328046.3,,1.0,0.23,600.0,392.0,,438.72,-8.72,
IHL,346.0,346.0,346.0,346.0,346.0,4109,348.0,1425908.1,,-2.0,-0.57,640.0,329.0,,353.67,-7.67,
ILBS,876.9,876.9,876.9,876.9,876.9,1049,879.0,878924.8,,-2.1,-0.24,1311.0,795.2,,874.7,2.2,
ILI,412.4,412.4,412.4,412.4,412.4,5178,411.2,2122595.1,,1.2,0.29,500.0,399.0,,417.61,-5.21,
JBBL,340.0,340.0,340.0,340.0,340.0,31771,343.0,10821686.7,,-3.0,-0.87,413.0,295.0,,345.77,-5.77,
JBLB,1260.8,1260.8,1260.8,1260.8,1260.8,2340,1260.0,2927009.2,,0.8,0.06,1644.0,1219.9,,1264.53,-3.73,
JFL,384.5,384.5,384.5,384.5,384.5,6409,391.0,2458137.6,,-6.5,-1.66,558.0,375.0,,393.31,-8.81,
JHAPA,1090.0,1090.0,1090.0,1090.0,1090.0,4949,1098.0,5315486.2,,-8.0,-0.73,1929.0,293.4,,1112.4,-22.4,
JOSHI,283.0,283.0,283.0,283.0,283.0,73222,284.0,20714733.4,,-1.0,-0.35,393.1,246.0,,265.75,17.25,
JSLBB,980.0,980.0,980.0,980.0,980.0,200,990.0,196000.0,,-10.0,-1.01,1485.0,941.0,,1005.65,-25.65,
KAHL,542.2,542.2,542.2,542.2,542.2,31077,554.5,16850616.0,,-12.3,-2.22,613.0,295.4,,525.44,16.76,
KBL,215.0,215.0,215.0,215.0,215.0,187087,216.0,40294518.0,,-1.0,-0.46,256.0,175.5,,217.75,-2.75,
KBLD89,1275.0,1275.0,1275.0,1275.0,1275.0,0,1275.0,1540500.0,,0.0,0.0,1379.0,1107.0,,1268.74,6.26,
KBSH,980.0,980.0,980.0,980.0,980.0,22696,970.0,22006327.7,,10.0,1.03,2189.0,888.7,,1128.53,-148.53,
KDBY,11.09,11.09,11.09,11.09,11.09,0,11.11,322792.5,,-0.02,-0.18,12.54,8.67,,10.95,0.14,
KDL,774.0,774.0,774.0,774.0,774.0,567,780.0,439837.9,,-6.0,-0.77,1200.0,730.0,,788.24,-14.24,
KEF,10.5,10.5,10.5,10.5,10.5,0,10.5,1362118.0,,0.0,0.0,11.3,8.31,,10.47,0.03,
KHPL,816.0,816.0,816.0,816.0,816.0,6987,818.0,5672298.9,,-2.0,-0.24,1324.8,300.0,,930.61,-114.61,
KKHC,323.0,323.0,323.0,323.0,323.0,425658,320.0,136139100.9,,3.0,0.94,475.9,208.0,,270.62,52.38,
KMCDB,777.0,777.0,777.0,777.0,777.0,5331,760.2,4124932.5,,16.8,2.21,1223.0,735.0,,786.31,-9.31,
KPCL,468.0,468.0,468.0,468.0,468.0,3501,468.1,1636541.3,,-0.1,-0.02,711.0,450.0,,469.82,-1.82,
KSBBL,473.6,473.6,473.6,473.6,473.6,14143,472.0,6656020.3,,1.6,0.34,588.0,404.1,,479.09,-5.49,
KSY,9.52,9.52,9.52,9.52,9.52,0,9.5,409345.6,,0.02,0.21,10.51,8.21,,9.78,-0.26,
LBBL,491.9,491.9,491.9,491.9,491.9,27592,491.0,13491847.4,,0.9,0.18,646.3,413.2,,491.26,0.64,
LBBLD89,1260.0,1260.0,1260.0,1260.0,1260.0,0,1251.4,63000.0,,8.6,0.69,1346.0,1000.0,,1277.52,-17.52,
LEC,221.2,221.2,221.2,221.2,221.2,76335,224.0,16924100.1,,-2.8,-1.25,276.0,180.0,,217.47,3.73,
LICN,774.9,774.9,774.9,774.9,774.9,1328,776.0,1031168.5,,-1.1,-0.14,990.0,763.0,,788.39,-13.49,
LLBS,885.0,885.0,885.0,885.0,885.0,155,894.8,135058.0,,-9.8,-1.1,1300.5,819.4,,913.89,-28.89,
LSH12,9.19,9.19,9.19,9.19,9.19,0,9.35,53754.0,,-0.16,-1.71,,,,,0,
LSL,220.2,220.2,220.2,220.2,220.2,58669,222.8,12907146.9,,-2.6,-1.17,252.0,203.0,,222.82,-2.62,
LUK,10.69,10.69,10.69,10.69,10.69,0,10.7,13897.0,,-0.01,-0.09,11.97,8.97,,10.23,0.46,
LVF2,9.06,9.06,9.06,9.06,9.06,0,9.3,47910.0,,-0.24,-2.58,10.3,9.01,,9.73,-0.67,
MABEL,593.0,593.0,593.0,593.0,593.0,3650,595.6,2160857.0,,-2.6,-0.44,927.0,317.7,,597.75,-4.75,
MAKAR,429.8,429.8,429.8,429.8,429.8,31056,435.0,13388551.3,,-5.2,-1.2,690.0,427.5,,454.07,-24.27,
MANDU,798.0,798.0,798.0,798.0,798.0,5828,806.0,4673778.4,,-8.0,-0.99,970.0,766.0,,812.11,-14.11,
MATRI,811.0,811.0,811.0,811.0,811.0,488,812.2,397224.0,,-1.2,-0.15,1347.0,786.3,,839.11,-28.11,
MBJC,267.0,267.0,267.0,267.0,267.0,4538,267.39,1210021.8,,-0.39,-0.15,342.0,261.1,,271.38,-4.38,
MBL,255.0,255.0,255.0,255.0,255.0,87239,253.0,22116749.2,,2.0,0.79,284.0,205.0,,253.45,1.55,
